data1,data2,data3,data4,data5,data6,data7,data8
4.800800133,-4.000443908,300.0000104,100.0000404,75.00000865,0.10002016,0.100011499,0.100006676
4.825804301,-3.979396065,300.0000107,100.0000417,75.00000826,0.100020871,0.100011911,0.100006918
4.850808468,-3.961445463,300.0000111,100.0000428,75.00000793,0.100021478,0.100012262,0.100007125
4.875812635,-3.946464038,300.0000113,100.0000437,75.00000767,0.100021987,0.100012557,0.100007298
4.900816803,-3.934206755,300.0000116,100.0000445,75.00000745,0.100022408,0.100012801,0.100007441
4.92582097,-3.924329686,300.0000117,100.0000451,75.00000728,0.100022752,0.100013,0.100007558
4.950825138,-3.91641149,300.0000119,100.0000456,75.00000714,0.100023033,0.100013163,0.100007654
4.975829305,-3.90997709,300.000012,100.000046,75.00000701,0.100023268,0.100013298,0.100007734
5.000833472,-3.904522388,300.0000121,100.0000464,75.00000689,0.100023474,0.100013418,0.100007804
5.02583764,-3.899538813,300.0000122,100.0000467,75.00000676,0.100023669,0.100013531,0.100007871
5.050841807,-3.894536381,300.0000123,100.0000471,75.00000662,0.100023871,0.100013648,0.100007941
5.075845974,-3.889068202,300.0000125,100.0000475,75.00000644,0.100024096,0.100013779,0.100008017
5.100850142,-3.882806355,300.0000126,100.0000479,75.00000625,0.100024347,0.100013925,0.100008104
5.125854309,-3.875596477,300.0000128,100.0000484,75.00000604,0.100024622,0.100014084,0.100008198
5.150858476,-3.867455101,300.0000129,100.0000489,75.00000583,0.100024906,0.10001425,0.100008295
5.175862644,-3.858550839,300.0000131,100.0000494,75.00000563,0.100025183,0.10001441,0.10000839
5.200866811,-3.849174243,300.0000132,100.0000498,75.00000546,0.100025433,0.100014555,0.100008475
5.225870978,-3.839699901,300.0000133,100.0000502,75.00000532,0.100025639,0.100014675,0.100008546
5.250875146,-3.830544496,300.0000134,100.0000504,75.00000523,0.100025793,0.100014764,0.100008599
5.275879313,-3.82212445,300.0000134,100.0000506,75.00000517,0.100025895,0.100014823,0.100008633
5.300883481,-3.814816457,300.0000135,100.0000507,75.00000514,0.100025952,0.100014856,0.100008653
5.325887648,-3.808923674,300.0000135,100.0000508,75.00000513,0.100025977,0.10001487,0.100008661
5.350891815,-3.804649685,300.0000135,100.0000508,75.00000512,0.100025983,0.100014874,0.100008663
5.375895983,-3.802081597,300.0000135,100.0000508,75.00000512,0.100025982,0.100014873,0.100008663
5.40090015,-3.801182877,300.0000135,100.0000508,75.00000512,0.100025981,0.100014873,0.100008663
5.425904317,-3.801795817,300.0000135,100.0000508,75.00000512,0.100025983,0.100014874,0.100008663
5.450908485,-3.803652832,300.0000135,100.0000508,75.00000511,0.100025987,0.100014876,0.100008665
5.475912652,-3.80639528,300.0000135,100.0000508,75.00000511,0.100025989,0.100014877,0.100008665
5.500916819,-3.80959805,300.0000135,100.0000508,75.00000511,0.100025987,0.100014877,0.100008665
